차고지,정류장명,위도,경도
Existing 1,장학해온채A,37.89731,127.75391
Existing 1,장학해온채A,37.89828,127.75381
Existing 1,춘천여고앞,37.88594,127.76149
Existing 1,후평동종점,37.89326,127.74865
Existing 1,후평동종점,37.89333,127.74889
Existing 1,한림대학교,37.88355,127.7384
Existing 2,구곡폭포종점,37.79745,127.6165
Existing 2,구곡폭포종점,37.79725,127.61677
Existing 1,강원고앞,37.89519,127.75523
Existing 1,춘천한샘고등학교,37.92521,127.7511
Existing 1,소양강댐정상,37.9476,127.81268
Existing 1,소양강댐정상,37.94774,127.81209
Existing 1,천년나무A,37.91296,127.73764
Existing 1,천년나무A,37.91277,127.73747
Existing 1,윗샘밭종점,37.93158,127.7914
Existing 1,윗샘밭종점,37.9324,127.7921
Existing 2,학곡리,37.82284,127.76328
Existing 2,학곡리,37.82274,127.76339
Existing 1,레고랜드정문,37.88399,127.70002
Existing 1,레고랜드정문,37.88412,127.69986
Existing 1,춘천역,37.88529,127.71803
Existing 1,춘천역,37.88523,127.71817
Existing 1,샘밭장터,37.92449,127.7462
Existing 1,샘밭장터,37.92457,127.74594
Existing 1,중앙로입구,37.87736,127.72415
Existing 1,중앙로입구,37.87703,127.72307
Existing 1,칠전대우A,37.84435,127.71169
Existing 1,중앙시장입구,37.87816,127.72459
Existing 1,중앙시장입구,37.87807,127.72437
Existing 2,안보2리종점,37.84976,127.57656
Existing 2,무림정사입구,37.8642,127.58272
Existing 2,안보2리종점,37.84986,127.57648
Existing 2,무림정사입구,37.86425,127.58285
Existing 1,덕두2리종점,37.88325,127.62954
Existing 1,덕두2리종점,37.88318,127.62944
Existing 1,장절공,37.90181,127.66181
Existing 1,강원생명과학고,37.90903,127.72324
Existing 1,강원생명과학고,37.9089,127.72299
Existing 1,오탄2리종점,38.05254,127.58156
Existing 1,오항리종점,37.97747,127.90438
Existing 2,설미종점,37.80995,127.67914
Existing 2,설미종점,37.80987,127.6792
Existing 2,혈동2리종점,37.78527,127.68743
Existing 2,혈동2리종점,37.78542,127.68738
Existing 2,홈플러스,37.85084,127.73516
Existing 2,홈플러스,37.85085,127.73411
Existing 2,증4리종점,37.79878,127.7311
Existing 2,강촌역,37.80629,127.6343
Existing 2,가정리종점,37.76329,127.57751
Existing 2,산수1리마을회관,37.71401,127.66816
Existing 2,산수1리마을회관,37.71395,127.66805
Existing 2,백양2리종점,37.79485,127.58239
Existing 2,거두리부영A,37.85551,127.75154
Existing 2,초록지붕A,37.85329,127.75133
Existing 1,거두농공단지종점,37.8671,127.7813
Existing 2,석사삼익A,37.8531,127.75114
Existing 2,화물공영차고지,37.82181,127.76282
Existing 2,화물공영차고지,37.822,127.76246
Existing 1,칠전대우A,37.84416,127.71171
Existing 1,신북사거리,37.92457,127.7514
Existing 1,호반베르디움,37.85716,127.75938
Existing 1,한림대학교,37.8831,127.73737
Existing 1,한숲시티A,37.85306,127.72954
Existing 1,한진한성,37.85942,127.72324
Existing 2,현진에버빌1차,37.85038,127.74756
Existing 1,장학LH1단지,37.89635,127.75261
Existing 1,인성병원,37.8811,127.72663
