노선(ID),정류장,정류장(,정류장명,경도,위도,버스 대
250000100,1,250026779,장학해온채A,127.75391,37.89731,10
250000100,89,265000700,장학해온채A,127.75381,37.89828,6
250000201,86,250026921,춘천여고앞,127.76149,37.88594,5
250000300,1,250001211,후평동종점,127.74865,37.89326,40
250000300,71,250001212,후평동종점,127.74889,37.89333,33
250000401,103,250002127,한림대학교,127.7384,37.88355,3
250000703,48,250001655,구곡폭포종점,127.6165,37.79745,1
250000704,1,250026741,구곡폭포종점,127.61677,37.79725,1
250000802,47,250026917,강원고앞,127.75523,37.89519,3
250001002,49,250001363,춘천한샘고등학교,127.7511,37.92521,5
250001201,47,250002117,소양강댐정상,127.81268,37.9476,1
250001202,1,250026595,소양강댐정상,127.81209,37.94774,1
250001302,1,250026893,천년나무A,127.73764,37.91296,3
250001302,37,250026892,천년나무A,127.73747,37.91277,1
250001304,52,250026880,윗샘밭종점,127.7914,37.93158,1
250001305,1,250001924,윗샘밭종점,127.7921,37.9324,1
250001501,64,250026776,학곡리,127.76328,37.82284,1
250001502,1,250027084,학곡리,127.76339,37.82274,1
250001600,1,265000769,레고랜드정문,127.70002,37.88399,1
250001600,76,265000768,레고랜드정문,127.69986,37.88412,1
250030000,1,250001357,춘천역,127.71803,37.88529,1
250030000,57,250026552,춘천역,127.71817,37.88523,1
250040000,1,250027100,샘밭장터,127.7462,37.92449,1
250040000,62,250027099,샘밭장터,127.74594,37.92457,1
250050000,1,250001847,중앙로입구,127.72415,37.87736,48
250050000,68,250001202,중앙로입구,127.72307,37.87703,45
250050300,1,250001343,칠전대우A,127.71169,37.84435,3
250050300,72,265000721,중앙시장입구,127.72459,37.87816,57
250050301,1,250027098,중앙시장입구,127.72437,37.87807,58
250050302,51,250002034,안보2리종점,127.57656,37.84976,1
250050303,1,250027126,무림정사입구,127.58272,37.8642,1
250050306,1,250026742,안보2리종점,127.57648,37.84986,1
250050307,73,250027125,무림정사입구,127.58285,37.86425,1
250050402,35,250001497,덕두2리종점,127.62954,37.88325,2
250050403,1,250026744,덕두2리종점,127.62944,37.88318,2
250050503,48,250002265,장절공,127.66181,37.90181,1
250050600,1,250001373,강원생명과학고,127.72324,37.90903,4
250050700,39,250001374,강원생명과학고,127.72299,37.9089,1
250050902,56,250026721,오탄2리종점,127.58156,38.05254,1
250051203,48,250026718,오항리종점,127.90438,37.97747,1
250051400,29,250002130,설미종점,127.67914,37.80995,3
250051401,1,250026747,설미종점,127.6792,37.80987,2
250051403,21,250026726,혈동2리종점,127.68743,37.78527,4
250051404,1,250001243,혈동2리종점,127.68738,37.78542,4
250051500,1,250026543,홈플러스,127.73516,37.85084,5
250051600,59,250026689,홈플러스,127.73411,37.85085,2
250051604,39,250026725,증4리종점,127.7311,37.79878,1
250051700,1,250026567,강촌역,127.6343,37.80629,9
250051703,64,250026731,가정리종점,127.57751,37.76329,1
250052001,44,250026859,산수1리마을회관,127.66816,37.71401,2
250052002,1,250027023,산수1리마을회관,127.66805,37.71395,2
250052403,33,250026984,백양2리종점,127.58239,37.79485,1
250052703,33,250001526,거두리부영A,127.75154,37.85551,13
250053101,1,250002139,초록지붕A,127.75133,37.85329,3
250053200,1,250026814,거두농공단지종점,127.7813,37.8671,1
250053203,1,250002138,석사삼익A,127.75114,37.8531,6
250053400,1,265000744,화물공영차고지,127.76282,37.82181,1
250053405,20,265000745,화물공영차고지,127.76246,37.822,1
250060000,1,250001342,칠전대우A,127.71171,37.84416,2
250060000,10,250027005,신북사거리,127.7514,37.92457,3
250060002,1,250026548,호반베르디움,127.75938,37.85716,2
250060002,9,250001275,한림대학교,127.73737,37.8831,3
250060005,1,250027085,한숲시티A,127.72954,37.85306,1
250060006,1,250001307,한진한성,127.72324,37.85942,1
250060007,1,250002018,현진에버빌1차,127.74756,37.85038,2
250060101,1,250026831,장학LH1단지,127.75261,37.89635,1
250060101,9,250001885,인성병원,127.72663,37.8811,1
